0d
time=1486341501, type=1, code=69, value=458867
time=1486341501, type=1, code=82, value=458867
time=1486349691, type=1, code=69, value=458867
0u
time=1486841855, type=1, code=82, value=458867
time=1486841855, type=1, code=69, value=458867
time=1486866431, type=1, code=69, value=458867
1d
time=1486346679, type=1, code=69, value=458867
time=1486346679, type=1, code=79, value=458875
time=1486354845, type=1, code=69, value=458875
1u
time=1486869935, type=1, code=79, value=458875
time=1486869935, type=1, code=69, value=458875
time=1486877663, type=1, code=69, value=458875
2d
time=1486833659, type=1, code=69, value=458875
time=1486833659, type=1, code=80, value=458875
time=1486841790, type=1, code=69, value=458875
2u
time=1486865403, type=1, code=80, value=458875
time=1486865403, type=1, code=69, value=458875
time=1486873523, type=1, code=69, value=458875
3d
time=1486307820, type=1, code=69, value=458875
time=1486307820, type=1, code=81, value=458875
time=1486316008, type=1, code=69, value=458875
3u
time=1486847983, type=1, code=81, value=458875
time=1486847983, type=1, code=69, value=458875
time=1486872062, type=1, code=69, value=458875
9d
time=1486845364, type=1, code=69, value=458875
time=1486845364, type=1, code=73, value=458875
time=1486869940, type=1, code=69, value=458875
9u
time=1486310335, type=1, code=73, value=458875
time=1486310335, type=1, code=69, value=458875
time=1486318074, type=1, code=69, value=458875
td
time=1486347737, type=1, code=15, value=458875
/d
time=1486311927, type=1, code=98, value=458879
*d
time=1486352875, type=1, code=55, value=458879
time=1486350828, type=1, code=55, value=458879
time=1486308846, type=1, code=55, value=458879
time=1486348781, type=1, code=55, value=458879
time=1486323176, type=1, code=55, value=458879
time=1486838259, type=1, code=55, value=458879
time=1486878193, type=1, code=55, value=458879
time=1486836203, type=1, code=55, value=458879
time=1486876135, type=1, code=55, value=458879
time=1486867426, type=1, code=55, value=458879
time=1486841828, type=1, code=55, value=458879
time=1486865378, type=1, code=55, value=458879
time=1486839789, type=1, code=55, value=458879
time=1486879722, type=1, code=55, value=458879
time=1486870506, type=1, code=55, value=458879
time=1486844903, type=1, code=55, value=458879
time=1486868460, type=1, code=55, value=458879
time=1486318055, type=1, code=55, value=458879
time=1486342133, type=1, code=55, value=458879
time=1486316531, type=1, code=55, value=458879
time=1486356461, type=1, code=55, value=458879
time=1486347233, type=1, code=55, value=458879
time=1486321647, type=1, code=55, value=458879
